id,name,date,genre,description,backdrop,poster
706972,Narco Sub,2021-01-22,"Action, Drama, Crime","A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",/AjQgFtfXTmmMVuaH2VfQDdGbeQH.jpg,/7p0O4mKYLIhU2E5Zcq9Z3vOZ4e9.jpg
641501,How I Became a Superhero,2020-11-19,"Science Fiction, Adventure, Mystery, Action, Thriller, Fantasy, Comedy","Paris 2020. While superheroes have assimilated into the Parisian society, they discover a new drug that gives themselves personal superpowers to mere mortals. Lieutenants Moreau and Schaltzmann are investigating the case with the support of two ex-superheroes, Monte Carlo and Callista. They'll do whatever it takes to dismantle the traffic. But Moreau's past resurfaces, and the investigation becomes more complicated.",/kDQdFs5XL6G8TuXvd0NnJfQ59GP.jpg,/d0wn9YtEnmbucx8ZUsT918ctoiK.jpg
850818,"Barbie: Big City, Big Dreams",2021-08-20,"Animation, Music, Family","Barbie swaps the sunny shores of Malibu for the bright lights of Broadway to attend an excusive summer performing arts program and meets…Barbie!  Fast friends, the two discover they share more than a name as they explore New York City and all the amazing things they have in common.  As they compete for the coveted once-in-a-lifetime Spotlight Solo from Times Square, the friends discover competition isn’t all about winning, it’s about striving to be your best, overcoming doubts, and sharing the spotlight.",/rnSn1m7na0AkvVelLVR7y9B85jV.jpg,/8PCeAhmRkiWYLBq0quetaFrHZp3.jpg
337404,Cruella,2021-05-26,"Comedy, Crime","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",/kmuSGNlF9mfNHIDOEVEWPj6f3Ak.jpg,/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg
637649,Wrath of Man,2021-04-22,"Action, Crime, Thriller","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",/70AV2Xx5FQYj20labp0EGdbjI6E.jpg,/M7SUK85sKjaStg4TKhlAVyGlz3.jpg
460465,Mortal Kombat,2021-04-07,"Action, Fantasy, Adventure","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",/9yBVqNruk6Ykrwc32qrK2TIE5xw.jpg,/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg
565028,Candyman,2021-08-25,"Horror, Thriller","Anthony and his partner move into a loft in the now gentrified Cabrini-Green, and after a chance encounter with an old-timer exposes Anthony to the true story behind Candyman, he unknowingly opens a door to a complex past that unravels his own sanity and unleashes a terrifying wave of violence.",/mHU833IrBRfZ3hhzEQsiiw2D8Nc.jpg,/dqoshZPLNsXlC1qtz5n34raUyrE.jpg
525660,Dynasty Warriors,2021-04-29,"Action, Adventure, Fantasy","Warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms.""",/iJ2HVOZT9Kjayrhy21pbGIJs9ey.jpg,/7BCTdek5LFHglcgl7shsm7igJAH.jpg
659940,The Marco Effect,2021-05-27,"Thriller, Crime","When 14-year-old Marco, a homeless Romani boy, is arrested at the Danish border for possession of a missing public servant's passport, police inspector Carl Mørck and his Department Q team are tasked with finding the connection. The old case contains several suspicious elements: The public servant was accused of pedophilia shortly before he disappeared, and his case was closed unusually quickly. But the silent, traumatized Marco refuses to talk to them and it's not long before he's on the run from those who intend to kill him because of what he knows.",/b8cduNIEf75tBSFXDwBJfNAQMFP.jpg,/fZNugFFV3xCNVR2Br4xGgfJil0Q.jpg
588228,The Tomorrow War,2021-07-02,"Action, Science Fiction, Adventure","The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",/yizL4cEKsVvl17Wc1mGEIrQtM2F.jpg,/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg
